id,tipo_es,tipo_gl,id_tipo,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
174,Cines,Cines,18,Multicines Norte,VIGO,VIGO,RUA VIA NORTE,22,42.23395,-8.71201,36204,986227513,http://www.multicinesnorte.es/
184,Cines,Cines,18,Gran Vía Cines,FREIXEIRO,FREIXEIRO,RUA MIRADOIRO (DO) (CC Gran Vía),2,42.22039,-8.72426,36210,902220922,http://www.granviacines.com
217,Cines,Cines,18,Yelmo Cines Vigo,VIGO,VIGO,RUA TRAVESIA DE VIGO,204,42.24298,-8.69646,36206,986265440,http://www.yelmocineplex.es
5105,Cines,Cines,18,Multicines Plaza Elíptica,,,PRAZA FRANCISCO FDEZ. DEL RIEGO,,42.23137,-8.72095,36203,986480553,https://galicine.es/cine.php?id=6
5115,Cines,Cines,18,Cine Teatro Salesianos Vigo,VIGO,VIGO,RUA VENEZUELA,3,42.23450,-8.72446,36203,619452540,http://www.cinesalesianos.com/
176,Teatros,Teatros,19,Teatro Arte Livre,VIGO,VIGO,RUA VAZQUEZ VARELA,19,42.23216,-8.71458,36204,986114444,http://www.tal2005.com
180,Teatros,Teatros,19,Teatro Ensalle,VIGO,VIGO,RUA CHILE,15,42.23135,-8.73038,36202,986485609,https://teatroensalle.com/
5117,Teatros,Teatros,19,Teatro Afundación,VIGO,VIGO,RUA POLICARPO SANZ,13,42.23772,-8.72339,36202,986447369,https://www.afundacion.org/es/centros/centro/centro_cultural_afundacion_vigo
5118,Teatros,Teatros,19,Cine Teatro Salesianos,VIGO,VIGO,RUA VENEZUELA,3,42.23450,-8.72446,36203,619452540,http://www.cinesalesianos.com/
177,Bibliotecas,Bibliotecas,14,Biblioteca Braille de la ONCE,VIGO,VIGO,AVDA GRAN VIA,16,42.23323,-8.71752,36204,986227208,www.once.es
5362,Bibliotecas,Bibliotecas,14,Biblioteca Municipal Xosé Neira Vilas,LAVADORES,BAGUNDA,AVDA E. MTNEZ GARRIDO- ALCALDE,21,42.22753,-8.70013,36205,986267759,
187,Bibliotecas,Bibliotecas,14,Biblioteca Central Campus de Vigo,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16929,-8.68357,36310,986813825,http://www.biblioteca.uvigo.es/
191,Bibliotecas,Bibliotecas,14,Biblioteca Centro Oceanográfico Vigo,OIA,CABO ESTAI,SBIDA RADIO FARO,50,42.18387,-8.81311,36390,986492111,http://www.ieo.es/es/web/vigo/biblioteca
192,Bibliotecas,Bibliotecas,14,Biblioteca de Filoloxía e Traducción,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16919,-8.67766,36310,986812268,http://www.biblioteca.uvigo.es/
193,Bibliotecas,Bibliotecas,14,Biblioteca de Ciencias,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16769,-8.68508,36310,986812658,http://www.biblioteca.uvigo.es/
194,Bibliotecas,Bibliotecas,14,Biblioteca de Ciencias Económicas e Empresariais,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.17017,-8.68082,36310,986812408,http://www.biblioteca.uvigo.es/
195,Bibliotecas,Bibliotecas,14,Biblioteca CC. Xurídicas e do Traballo,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16885,-8.68124,36310,986812682,http://www.biblioteca.uvigo.es/
196,Bibliotecas,Bibliotecas,14,Biblioteca de Industriais e Minas,ZAMANS,MARCOSENDE,RUA MAXWELL,0,42.16854,-8.68956,36310,986812208,http://www.biblioteca.uvigo.es/
197,Bibliotecas,Bibliotecas,14,Biblioteca de Telecomunicación,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16981,-8.68844,36310,986812105,http://www.biblioteca.uvigo.es/
198,Bibliotecas,Bibliotecas,14,Biblioteca da Escola de Enxeñaría Industrial,VIGO,VIGO,RUA CONDE TORRECEDEIRA,86,42.22722,-8.73461,36208,986813739,http://www.biblioteca.uvigo.es/
206,Bibliotecas,Bibliotecas,14,Biblioteca Fundación Penzol,VIGO,VIGO,PRAZA PRINCESA,2,42.23836,-8.72568,36202,986226459,http://www.vigocultura.org
211,Bibliotecas,Bibliotecas,14,Biblioteca Teatro Afundación Vigo,VIGO,VIGO,RUA POLICARPO SANZ,13,42.23772,-8.72339,36202,886116933,
218,Bibliotecas,Bibliotecas,14,Biblioteca Pública de Vigo Juan Compañel,VIGO,VIGO,RUA JOAQUIN YAÑEZ,6,42.23877,-8.72543,36202,886120440,http://bibliotecas.xunta.gal/vigo/gl
5401,Bibliotecas,Bibliotecas,14,Biblioteca da Escola Municipal de Artes e Oficios (EMAO),VIGO,VIGO,AVDA GARCIA BARBON,5,42.23761,-8.71959,36201,986228088,http://bibliotecadaemao.blogspot.com/
4639,Bibliotecas,Bibliotecas,14,Biblioteca Centro de Documentación MARCO,VIGO,VIGO,RUA PRINCIPE,54,42.23606,-8.72110,36202,986113900,www.marcovigo.com
4640,Bibliotecas,Bibliotecas,14,Biblioteca Cámara de Comercio de Vigo,VIGO,VIGO,RUA REPUBLICA ARGENTINA,18,42.23655,-8.71876,36201,986446343,http://www.camarapvv.com/
4642,Bibliotecas,Bibliotecas,14,Biblioteca Facultade de Ciencias do Mar e Bioloxía,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16749,-8.68537,36310,986812658,http://uvigo.gal
4643,Bibliotecas,Bibliotecas,14,Biblioteca Grupo de Estudios sobre a Condición da Muller Alecrin,VIGO,VIGO,AVDA GARCIA BARBON,30,42.23664,-8.71628,36201,986439459,
4644,Bibliotecas,Bibliotecas,14,Biblioteca do Instituto de Investigacións Mariñas,VIGO,VIGO,RUA EDUARDO CABELLO,6,42.22617,-8.75190,36208,986214454,http://www.iim.csic.es/index.php/biblioteca
4645,Bibliotecas,Bibliotecas,14,Biblioteca Museo Etnográfico Fundación Liste,FREIXEIRO,FREIXEIRO,RUA PASTORA,22,42.21793,-8.73121,36210,986244698,www.museoliste.org
5406,Bibliotecas,Bibliotecas,14,Biblioteca de Navia,NAVIA,XUNCAL,RUA TEIXUGUEIRAS (AS),26,42.20948,-8.75692,36212,,
5113,Bibliotecas,Bibliotecas,14,Biblioteca Francisco Fernández del Riego,VIGO,VIGO,PRAZA PRINCESA,2,42.23836,-8.72568,36202,986226459,
5114,Bibliotecas,Bibliotecas,14,Gabinete Ramón Piñeiro,VIGO,VIGO,PRAZA PRINCESA,2,42.23836,-8.72568,36202,986226459,
203,Centros Culturales,Centros Culturais,15,Centro de Artesanía Tradicional (CAT),VIGO,VIGO,SBIDA CASTELO (VIGO VELLO),10,42.23740,-8.72703,36202,986224698,http://hoxe.vigo.org/artesania/
204,Centros Culturales,Centros Culturais,15,Casa das Artes,VIGO,VIGO,RUA POLICARPO SANZ,15,42.23772,-8.72293,36202,986439525,http://www.vigocultura.org/es/museos
205,Centros Culturales,Centros Culturais,15,Casa Galega da Cultura,VIGO,VIGO,PRAZA PRINCESA,2,42.23836,-8.72568,36202,986226459,http://www.vigocultura.org/es/museos
201,Fundaciones,Fundacións,17,Fundación Barrié,VIGO,VIGO,RUA POLICARPO SANZ,31,42.23777,-8.72094,36202,986110220,http://www.fundacionbarrie.org/
209,Fundaciones,Fundacións,17,Afundación (Obra social Abanca),VIGO,VIGO,RUA POLICARPO SANZ,24,42.23739,-8.72218,36202,986120078,https://www.afundacion.org
