Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y tamaño de los municipios
Unidades: Personas
	Total																										Menos de 101 																										De 101 a 500 																										De 501 a 1.000																										De 1.001 a 2.000 																										De 2.001 a 5.000 																										De 5.001 a 10.000 																										De 10.001 a 20.000 																										De 20.001 a 50.000 																										De 50.001 a 100.000 																										De 100.001 a 500.000 																										Más de 500.000 																										
	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
Total	47.385.107	47.450.795	47.026.208	46.722.980	46.572.132	46.557.008	46.624.382	46.771.341	47.129.783	47.265.321	47.190.493	47.021.031	46.745.807	46.157.822	45.200.737	44.708.964	44.108.530	43.197.684	42.717.064	41.837.894	41.116.842	40.499.791	40.202.160	39.852.651	""	39.669.394	78.172	79.850	76.828	78.080	75.939	74.943	72.436	71.178	70.230	67.715	63.540	62.186	64.482	62.234	59.638	57.513	59.925	58.391	57.435	57.107	57.678	57.677	56.052	55.832	""	52.709	651.192	650.018	658.384	656.940	664.122	663.286	661.567	663.095	668.369	672.062	676.994	679.957	679.235	684.322	697.081	708.581	712.752	715.847	717.089	721.664	723.970	726.261	732.229	733.704	""	739.409	721.010	718.689	721.203	724.825	724.667	727.784	735.181	736.661	740.032	751.134	753.696	756.402	760.634	764.788	766.160	756.468	760.350	775.259	774.792	794.091	801.575	818.273	803.676	792.611	""	800.097	1.240.089	1.227.235	1.242.862	1.245.796	1.263.289	1.293.154	1.279.830	1.302.915	1.295.128	1.318.188	1.327.618	1.313.221	1.316.931	1.326.303	1.336.394	1.338.088	1.359.127	1.385.721	1.407.178	1.402.978	1.441.321	1.450.856	1.445.626	1.430.490	""	1.444.239	2.996.629	3.014.825	3.000.351	3.005.045	3.017.483	3.034.890	3.105.502	3.109.507	3.118.035	3.177.319	3.166.344	3.178.057	3.204.638	3.217.354	3.207.931	3.147.445	3.163.341	3.123.610	3.090.817	3.138.752	3.145.777	3.134.288	3.137.326	3.126.876	""	3.129.220	3.902.355	3.844.677	3.865.826	3.804.913	3.855.902	3.869.029	3.861.973	3.885.669	3.921.464	3.889.239	3.914.878	3.933.865	3.858.996	3.815.486	3.792.020	3.772.119	3.716.869	3.682.499	3.639.128	3.532.517	3.494.124	3.515.907	3.517.474	3.543.795	""	3.599.227	4.894.070	4.827.217	4.787.781	4.946.227	4.926.456	4.914.991	4.983.746	5.025.279	5.034.822	5.137.125	5.119.308	5.020.865	5.021.665	5.040.092	4.963.221	4.920.545	4.867.406	4.843.203	4.781.079	4.704.465	4.638.790	4.622.754	4.611.424	4.542.603	""	4.525.296	7.837.738	7.858.627	7.765.329	7.688.220	7.584.424	7.668.118	7.522.782	7.509.883	7.593.871	7.561.192	7.499.173	7.435.693	7.312.406	6.997.338	7.005.876	6.786.025	6.583.993	6.131.649	6.021.723	6.070.295	5.972.571	5.609.225	5.414.573	5.243.892	""	5.195.495	6.178.689	6.189.980	6.075.765	5.884.410	5.960.153	5.854.053	5.961.547	5.968.029	5.965.524	5.896.687	5.857.700	5.915.160	5.854.113	5.848.264	5.444.955	5.312.064	5.147.839	4.996.187	4.927.484	4.458.891	4.213.756	4.241.165	4.193.401	4.252.399	""	3.982.633	11.216.339	11.288.818	11.196.460	11.126.817	10.984.725	10.971.589	10.979.122	11.015.433	11.160.284	11.193.750	11.186.947	11.076.146	11.035.190	10.832.927	10.487.449	10.456.384	10.282.131	10.130.473	9.961.028	9.791.066	9.570.582	9.368.333	9.332.617	9.170.577	""	9.230.435	7.668.824	7.750.859	7.635.419	7.561.707	7.514.972	7.485.171	7.460.696	7.483.692	7.562.024	7.600.910	7.624.295	7.649.479	7.637.517	7.568.714	7.440.012	7.453.732	7.454.797	7.354.845	7.339.311	7.166.068	7.056.698	6.955.052	6.957.762	6.959.872	""	6.970.634	
02 Albacete	386.464	388.270	388.167	388.786	390.032	392.118	394.580	396.987	400.007	402.837	402.318	401.682	400.891	397.493	392.110	387.658	384.640	379.448	376.556	371.787	367.283	363.263	361.021	358.597	""	359.010	247	247	153	248	59	63	59	54	50	53	56	148	155	159	70	75	67	74	71	63	66	68	69	61	""	68	7.651	7.191	7.010	6.495	6.290	6.476	6.634	6.776	6.426	6.779	6.958	6.861	6.984	7.077	6.789	6.709	5.861	5.822	5.501	5.070	5.078	4.218	4.301	4.771	""	5.007	10.577	11.124	11.871	12.416	13.258	13.569	13.984	13.059	14.079	13.551	12.783	12.793	12.861	13.089	13.637	13.625	15.000	15.153	15.557	16.140	16.458	17.791	16.910	15.413	""	15.929	29.543	29.674	27.875	28.111	28.470	28.963	29.561	30.709	31.399	28.977	30.192	28.167	28.456	30.596	32.596	34.475	34.662	34.591	34.633	34.820	33.068	33.302	34.589	35.616	""	34.511	46.578	46.443	48.662	48.909	49.342	49.668	50.256	50.699	51.192	55.966	56.080	58.087	58.200	55.789	53.115	51.250	51.103	50.730	50.389	50.448	52.239	49.380	49.594	49.613	""	47.381	13.875	13.896	23.882	13.993	14.117	14.282	14.516	14.625	14.699	14.849	14.852	14.953	14.784	14.727	14.515	24.144	23.998	23.697	23.514	23.235	22.747	22.554	22.390	22.272	""	27.099	25.478	25.532	15.476	25.518	25.613	25.863	26.031	26.273	26.648	26.971	26.891	26.749	26.390	26.191	25.562	15.288	14.881	14.550	14.331	14.107	13.793	13.651	13.627	13.583	""	13.523	79.793	79.827	79.909	80.046	80.067	80.808	81.418	82.305	82.821	83.219	83.116	83.449	83.345	82.956	81.055	80.584	79.550	78.365	77.418	75.749	74.327	72.632	72.014	71.814	""	71.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	172.722	174.336	173.329	173.050	172.816	172.426	172.121	172.487	172.693	172.472	171.390	170.475	169.716	166.909	164.771	161.508	159.518	156.466	155.142	152.155	149.507	149.667	147.527	145.454	""	143.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
03 Alicante/Alacant	1.881.762	1.879.888	1.858.683	1.838.819	1.825.332	1.836.459	1.855.047	1.868.438	1.945.642	1.943.910	1.934.127	1.926.285	1.917.012	1.891.477	1.825.264	1.783.555	1.732.389	1.657.040	1.632.349	1.557.968	1.490.265	1.445.144	1.410.946	1.388.933	""	1.379.762	179	180	201	299	206	310	104	111	89	104	208	193	211	113	118	288	196	192	201	196	195	198	202	204	""	120	7.492	8.335	8.831	8.666	8.779	8.271	7.653	7.707	7.949	7.588	7.034	7.923	7.369	7.963	8.393	8.368	8.526	8.793	9.431	9.743	9.626	9.636	9.905	9.770	""	10.138	13.396	13.081	12.653	11.678	12.772	12.434	13.735	12.968	12.775	13.558	14.142	12.969	13.409	12.763	12.829	12.877	13.600	15.483	13.629	12.642	12.501	13.448	12.829	13.648	""	12.902	18.386	19.071	18.970	23.823	22.601	24.097	24.255	25.295	25.414	25.579	25.506	25.282	25.312	24.755	24.554	22.630	20.996	23.038	23.960	23.110	26.213	28.183	29.386	25.792	""	28.212	58.716	55.689	64.492	59.374	58.601	59.373	61.394	61.998	53.047	58.565	58.034	57.246	61.517	60.096	64.458	59.706	55.702	45.511	41.277	48.594	46.326	45.364	41.999	43.209	""	40.890	163.370	161.533	148.769	156.921	165.544	155.229	158.051	148.846	147.647	144.268	144.266	143.239	137.185	145.290	139.685	145.391	140.933	134.428	140.029	134.964	144.810	144.773	151.827	149.746	""	158.351	149.615	149.176	148.278	135.939	142.978	158.335	140.827	151.923	183.221	182.865	181.491	180.648	178.931	204.139	205.387	225.998	233.042	237.890	225.766	203.344	232.091	215.202	199.135	193.271	""	179.659	497.608	495.809	489.616	483.816	460.107	460.354	483.784	485.873	510.049	508.847	505.617	503.823	499.373	451.594	465.224	413.466	381.526	346.564	340.919	324.314	252.782	245.751	283.859	274.655	""	268.817	401.491	404.767	399.469	396.101	395.081	399.872	409.284	413.003	334.970	333.551	331.010	328.631	327.044	323.285	359.521	353.368	343.351	325.372	324.063	305.701	284.288	269.912	216.198	214.493	""	214.436	571.509	572.247	567.404	562.202	558.663	558.184	555.960	560.714	670.481	668.985	666.819	666.331	666.661	661.479	545.095	541.463	534.517	519.769	513.074	495.360	481.433	472.677	465.606	464.145	""	466.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
04 Almería	731.792	727.945	716.820	709.340	706.672	704.297	701.211	701.688	699.329	704.219	702.819	695.560	684.426	667.635	646.633	635.850	612.315	580.077	565.310	546.498	533.168	518.229	512.843	505.448	""	501.761	59	58	58	68	66	69	78	71	73	78	84	84	88	94	98	66	65	66	68	180	187	92	86	86	""	76	10.330	10.132	10.621	10.404	10.122	10.392	10.205	9.541	9.874	9.747	9.580	9.827	10.329	9.026	10.053	9.422	9.402	9.310	9.723	9.765	9.355	9.548	10.504	9.891	""	9.317	9.875	10.702	10.153	10.185	10.856	10.886	11.466	11.986	11.419	12.253	12.974	11.285	10.810	13.290	12.086	11.561	12.525	11.507	10.809	10.677	13.135	13.090	10.974	11.457	""	11.713	19.711	18.405	18.461	20.335	16.442	16.743	15.167	15.428	17.094	17.367	17.662	18.625	18.608	17.644	17.559	17.480	16.479	19.299	21.191	20.964	20.677	20.553	21.653	21.666	""	22.980	60.148	59.500	58.403	55.979	59.874	60.168	60.490	61.483	57.731	64.569	64.761	64.518	68.671	67.547	64.897	62.270	59.859	55.099	51.535	50.757	53.147	52.589	52.449	52.120	""	57.378	58.668	57.854	56.772	65.573	64.744	64.847	65.365	65.379	72.522	67.531	67.362	66.312	60.671	59.261	57.437	56.181	55.382	62.797	71.083	76.468	67.910	75.042	74.420	73.020	""	67.426	105.161	103.804	101.586	89.924	88.878	87.711	90.356	90.830	89.829	89.636	88.970	87.535	85.805	83.321	78.696	76.017	94.557	78.322	66.580	74.298	72.673	59.487	58.626	57.415	""	56.623	84.357	83.977	81.839	80.386	78.842	78.249	77.297	77.793	77.239	78.133	77.452	76.164	73.742	71.521	69.772	69.835	47.630	43.563	42.514	22.034	69.380	65.875	63.619	61.598	""	105.745	182.730	182.191	180.394	179.635	181.459	180.717	176.584	175.826	170.851	173.462	173.625	171.197	166.892	158.410	149.384	147.709	134.714	122.433	115.080	108.017	55.710	53.008	51.485	50.170	""	0	200.753	201.322	198.533	196.851	195.389	194.515	194.203	193.351	192.697	191.443	190.349	190.013	188.810	187.521	186.651	185.309	181.702	177.681	176.727	173.338	170.994	168.945	169.027	168.025	""	170.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
01 Araba/Álava	333.626	333.940	331.549	328.868	326.574	324.126	323.648	321.932	321.417	322.557	319.227	317.352	313.819	309.635	305.459	301.926	299.957	295.905	294.360	291.860	288.793	286.497	285.748	284.595	""	281.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	4.842	4.740	5.246	4.760	4.840	5.349	4.899	4.920	4.987	5.086	5.105	5.118	5.547	5.533	5.512	5.970	5.984	5.906	5.885	5.903	5.827	5.691	6.113	5.986	""	5.932	8.399	9.170	8.632	9.089	9.112	7.613	8.184	8.253	8.288	8.339	8.285	8.200	7.597	7.515	7.481	7.676	8.613	9.386	10.079	10.875	9.675	10.447	9.737	9.651	""	9.476	18.867	17.513	17.434	17.466	17.397	18.326	18.414	18.371	18.501	18.716	18.526	18.289	18.000	17.739	17.386	15.876	14.563	15.177	13.765	16.502	17.047	15.615	15.109	14.861	""	14.462	15.080	15.101	14.949	14.868	14.800	19.732	19.670	19.639	19.606	19.581	19.241	19.028	18.611	18.068	17.320	16.726	16.082	13.501	12.948	8.690	8.478	8.406	8.250	8.123	""	8.046	5.029	5.038	5.062	5.018	5.025	0	0	0	0	0	0	0	0	0	9.879	9.632	9.592	9.512	9.555	9.594	9.695	9.720	9.753	9.753	""	9.758	28.316	28.382	28.452	28.491	28.424	28.472	28.563	28.667	28.649	28.612	28.508	28.470	28.403	28.303	18.397	18.478	18.633	18.721	18.871	19.026	19.169	19.260	19.632	19.694	""	19.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	253.093	253.996	251.774	249.176	246.976	244.634	243.918	242.082	241.386	242.223	239.562	238.247	235.661	232.477	229.484	227.568	226.490	223.702	223.257	221.270	218.902	217.358	217.154	216.527	""	214.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
33 Asturias	1.011.792	1.018.784	1.022.800	1.028.244	1.034.960	1.042.608	1.051.229	1.061.756	1.068.165	1.077.360	1.081.487	1.084.341	1.085.289	1.080.138	1.074.862	1.076.896	1.076.635	1.073.761	1.075.381	1.073.971	1.075.329	1.076.567	1.084.314	1.081.834	""	1.087.885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	2.347	3.372	2.919	2.980	3.020	3.115	2.659	2.752	2.329	1.888	1.440	1.888	1.941	2.025	1.569	1.546	1.568	1.604	1.634	1.203	1.217	1.233	1.256	1.260	""	1.262	6.725	5.753	6.438	6.547	6.701	5.842	6.471	6.567	7.198	6.838	7.430	6.908	6.918	7.067	7.673	7.712	7.871	7.936	8.035	8.652	8.804	8.929	9.062	9.100	""	9.256	31.686	31.514	31.768	30.340	28.804	28.341	28.933	29.356	29.938	31.476	29.910	28.149	28.520	26.951	27.151	25.595	22.015	18.323	18.408	18.891	19.056	19.410	15.686	13.678	""	14.014	37.499	37.432	37.888	30.149	32.542	34.855	35.234	35.653	35.952	36.203	38.646	41.049	41.390	43.805	44.038	46.336	55.701	60.106	60.732	61.859	62.711	63.390	68.498	70.621	""	66.790	69.449	69.716	70.384	81.198	82.033	73.035	63.940	65.122	66.002	66.867	67.281	67.706	68.048	67.937	67.660	67.874	62.954	62.946	63.098	63.467	63.773	64.262	64.860	64.957	""	70.544	151.148	151.077	152.333	153.914	155.923	168.018	179.950	182.535	183.863	186.028	187.538	188.439	188.961	189.295	189.884	190.988	192.142	193.090	194.073	175.736	177.223	178.437	180.452	180.703	""	183.068	98.008	98.993	99.755	100.876	101.981	103.330	104.811	106.232	107.651	109.018	110.581	111.917	112.529	112.965	162.923	163.952	164.424	165.323	166.645	187.503	188.717	189.139	140.970	90.879	""	90.805	128.482	129.300	129.849	130.377	131.290	132.083	133.071	134.039	134.869	135.336	135.711	135.932	135.423	133.750	83.320	83.538	83.855	83.899	84.182	83.511	83.553	83.930	135.097	185.596	""	187.716	486.448	491.627	491.466	491.863	492.666	493.989	496.160	499.500	500.363	503.706	502.950	502.353	501.559	496.343	490.644	489.355	486.105	480.534	478.574	473.149	470.275	467.837	468.433	465.040	""	464.430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
05 Ávila	158.421	157.664	157.640	158.498	160.700	162.514	164.925	167.015	168.825	171.265	172.704	171.896	171.680	171.815	168.638	167.818	167.032	166.108	165.480	165.138	163.885	164.991	166.259	167.132	""	169.342	5.815	6.054	5.995	5.725	5.664	5.668	5.414	5.188	5.211	4.820	4.559	4.459	4.225	4.207	4.072	3.722	3.718	3.337	3.321	2.723	2.673	2.547	2.502	2.531	""	2.325	24.929	25.135	25.353	25.740	26.035	24.292	24.840	25.550	26.475	27.846	28.439	27.962	28.818	29.544	30.368	31.259	32.032	33.340	33.480	34.315	34.745	35.590	35.775	35.607	""	36.187	13.503	12.852	13.574	13.266	14.064	16.899	16.789	17.052	16.929	16.825	16.536	17.648	18.926	19.093	18.100	18.079	17.259	17.751	18.137	19.541	19.327	19.605	19.576	19.412	""	20.799	7.760	7.708	9.671	10.649	10.838	11.039	10.293	10.456	8.527	7.708	8.871	8.766	7.837	8.009	8.970	10.957	11.930	8.927	8.936	9.131	12.142	12.318	9.472	12.608	""	10.921	23.870	23.071	20.803	25.799	21.118	21.489	23.864	24.254	26.642	29.231	29.202	28.895	29.165	29.046	28.199	25.777	24.920	31.088	30.307	30.010	27.971	28.063	32.170	30.425	""	32.779	24.595	24.475	24.500	19.662	24.832	25.044	25.367	25.582	25.783	25.920	26.089	25.921	25.854	25.772	25.135	24.752	24.561	19.248	19.221	19.177	19.060	19.025	19.082	18.899	""	19.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.967	47.843	47.682	47.650	""	47.187	57.949	58.369	57.744	57.657	58.149	58.083	58.358	58.933	59.258	58.915	59.008	58.245	56.855	56.144	53.794	53.272	52.612	52.417	52.078	50.241	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
06 Badajoz	669.943	672.137	673.559	676.376	679.884	684.113	686.730	690.929	693.729	694.533	693.921	692.137	688.777	685.246	678.459	673.474	671.299	663.896	663.142	662.808	664.251	661.874	664.625	663.803	""	656.848	90	85	83	67	70	74	71	68	79	84	90	93	85	79	77	83	82	72	76	75	71	73	56	37	""	34	6.742	6.314	6.400	6.440	6.569	5.708	5.301	5.363	5.431	5.567	5.672	5.718	5.232	5.749	5.774	5.330	5.404	5.012	5.133	5.314	5.433	4.515	4.586	4.624	""	4.780	29.537	30.168	29.558	29.876	28.459	27.853	26.713	26.016	26.152	25.546	23.765	24.750	25.321	25.956	24.005	23.373	23.633	24.281	24.496	24.892	24.228	25.502	25.849	23.939	""	24.238	57.826	56.147	55.626	54.283	56.973	57.752	56.445	57.859	58.319	60.076	60.540	57.849	60.175	59.476	63.526	62.783	61.371	61.593	62.062	59.206	60.781	59.278	57.974	58.222	""	58.715	123.870	126.402	129.215	132.482	123.696	126.909	131.935	122.867	124.023	127.447	124.823	122.218	120.038	120.097	117.748	119.508	121.931	126.577	122.085	127.601	128.650	129.019	127.294	124.500	""	121.751	88.317	88.699	89.296	89.807	100.479	101.402	102.120	112.921	113.344	109.277	114.493	119.809	109.875	110.019	119.787	119.088	119.199	113.752	118.959	119.689	120.233	120.216	125.770	131.261	""	137.672	56.674	56.899	57.052	57.302	57.562	57.785	58.025	58.207	58.304	58.289	58.121	57.884	68.105	67.383	56.461	55.922	55.577	54.868	54.531	54.156	53.948	53.718	53.458	53.501	""	53.254	96.853	96.891	96.292	96.237	96.346	97.510	97.257	98.126	98.407	97.813	97.055	96.313	95.217	94.087	90.930	89.724	87.994	86.406	85.275	84.244	83.532	82.939	82.638	82.538	""	82.064	59.424	59.548	59.335	59.352	59.187	59.174	58.971	58.985	59.049	58.164	57.797	57.127	56.395	55.568	54.894	53.915	53.089	52.200	52.110	50.780	51.056	50.478	50.387	50.471	""	51.830	150.610	150.984	150.702	150.530	150.543	149.946	149.892	150.517	150.621	152.270	151.565	150.376	148.334	146.832	145.257	143.748	143.019	139.135	138.415	136.851	136.319	136.136	136.613	134.710	""	122.510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
07 Balears, Illes	1.173.008	1.171.543	1.149.460	1.128.908	1.115.999	1.107.220	1.104.479	1.103.442	1.111.674	1.119.439	1.113.114	1.106.049	1.095.426	1.072.844	1.030.650	1.001.062	983.131	955.045	947.361	916.968	878.627	845.630	821.820	796.483	""	760.379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	507	535	527	529	1.017	553	572	585	621	647	686	654	669	664	672	706	679	669	695	688	677	675	651	613	""	656	2.795	2.734	2.660	2.661	2.154	2.710	2.835	2.928	2.945	2.876	2.925	2.945	2.990	2.952	3.797	4.730	3.704	5.635	5.714	5.623	6.384	6.271	6.135	6.053	""	5.882	8.721	8.485	10.154	12.022	11.975	7.991	7.848	7.895	10.009	9.977	11.915	11.766	13.622	13.264	11.869	10.568	11.253	10.847	12.677	12.476	11.036	10.709	10.519	12.259	""	11.922	44.193	43.297	45.368	47.257	51.467	50.331	45.389	45.606	43.916	44.038	41.845	41.470	38.770	42.678	50.855	63.766	62.094	58.086	55.379	68.873	71.142	69.246	67.293	63.847	""	67.220	117.543	116.240	108.610	101.896	95.946	100.260	115.108	115.289	106.544	117.278	116.407	125.300	123.422	115.008	100.677	82.775	100.257	105.693	105.843	87.583	88.492	94.266	90.544	86.662	""	77.608	146.148	146.023	143.645	161.424	158.923	157.830	148.460	148.326	139.375	152.984	152.018	141.570	141.321	137.390	152.216	167.199	141.170	125.953	125.973	121.656	107.141	93.819	110.482	106.199	""	119.845	331.525	328.804	371.872	393.458	388.025	384.596	333.361	333.357	307.429	332.877	329.549	326.201	321.588	313.541	327.457	296.270	288.201	279.188	273.803	261.607	247.035	236.719	209.203	201.669	""	172.996	102.210	102.838	50.559	0	0	0	50.328	50.363	102.673	51.114	52.451	51.462	51.774	50.777	0	0	0	0	0	0	0	0	0	0	""	0	419.366	422.587	416.065	409.661	406.492	402.949	400.578	399.093	398.162	407.648	405.318	404.681	401.270	396.570	383.107	375.048	375.773	368.974	367.277	358.462	346.720	333.925	326.993	319.181	""	304.250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
